id,name,aliases
1,Chardonnay,
2,Xarello,
3,Syrah,
4,Cabernet Sauvignon,
5,Pinot Noir,
6,Gamay,
7,Cabernet Franc,
8,Grenache,
9,Sangiovese,
10,Melon de Bourgogne,
11,Semillon,
12,Chenin Blanc,
13,Nebbiolo,
14,Merlot,
15,Malbec,
16,Viognier,
17,Riesling,
18,Sauvignon Blanc,
19,Corvina,
20,Tempranillo,
21,Furmint,
22,Mourvèdre,
23,Trousseau,
24,Sercial,
25,Zinfandel,
26,Nerello Mascalese,
27,Pinot Gris,
28,Poulsard,
29,Cinsault,
30,Gewürtztraminer,
31,Pinot Meunier,
32,Grolleau,
33,Garganega,
34,Rabigato,
35,Nero d'Avola,
36,Assyrtiko,
37,Malvasia,
38,Grenache Blanc,
39,Pinot Grigio,
40,Grüner Veltliner,
41,Carmenère,
42,Pinotage,
43,Cortese,
44,Barbera,
45,Saperavi,
46,Marsanne,
47,Albariño,
48,Muscat,
49,Obaideh,
50,Aglianico,
51,Touriga Nacional,
52,Torrontés,
53,Macabeo,
54,Montepulciano,
55,Mondeuse Noire,
56,Trebbiano,
57,Pecorino,
58,Jacquère,
59,Savagnin,
60,Mencia,
61,Aligoté,
62,Completer,
63,Clairette,
64,Muscat of Alexandria,
65,Croatina,
66,Ugni Blanc,
67,Arbanne,
68,Petit Meslier,
69,Roussette,
70,Gringet,
71,Palomino,
72,Vermentino,
73,Listran Negro,
74,Grenache Gris,
75,Pineau d'Aunis,
76,Petit Manseng,
77,Sciacarellu,
78,Lambrusco,
79,Gouveio,
80,Frappato,
81,Trollinger,
82,Chasselas,
83,Grolleau Blanc,
84,Alicante Bouschet,
85,Carignan,
86,Valdigué,
87,Fiano,
88,Ribolla Galla,
89,Pinot Blanc,
90,Nielluciu,
91,Zweigelt,
92,Sauvignon Gris,
93,Carricante,
94,Kyoho,
95,Dolcetto,
96,Freisa,
97,Listran Blanco,
98,Field Blend,
99,Bical,
100,Chignin-Bergeron,
101,Friulano,
102,Rossese di Dolceacqua,
103,Ribolla Gialla,
104,Carignan Blanc,
105,Arinto,
106,Graciano,
107,Zelen,
108,Figari,
109,Liatiko,
110,Listan Negro,
111,Albillo,
